
 Lista de Imýveis da Caixa;;Data de geraýýo:;27/08/2026;;;;;;;
 Ný do imývel;UF;Cidade;Bairro;Endereýo;Preýo;Valor de avaliaýýo;Desconto;Financiamento;Descriýýo;Modalidade de venda;Link de acesso

 10139954 ;PR ;ALMIRANTE TAMANDARE ;MATO DENTRO ;RODOVIA DOS MINýRIOS, N. 6750, GLEBA ;1.130.132,88;4.261.000,00;73.48;Nýo;Gleba, 0.00 de ýrea total, 0.00 de ýrea privativa, 72600.00 de ýrea do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10139954
 8787705882644 ;PR ;ALMIRANTE TAMANDARE ;CACHOEIRA ;RUA MAURICIO ROSEMANN, N. 455, Apto 1117, BL 11 BOX 67 ;99.729,17;168.292,41;40.75;Nýo;Apartamento, 45.63 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitaýýo Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705882644
 8787708365691 ;PR ;ALMIRANTE TAMANDARE ;BONFIM ;RUA ALFREDO DE ANDRADE, N. 75, Apto 408, BL 16 ;120.580,49;199.500,00;39.56;Nýo;Apartamento, 0.00 de ýrea total, 40.31 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708365691
 8787713174572 ;PR ;ALMIRANTE TAMANDARE ;COLONIA LAM. GRANDE ;RUA ELIZIO FERREIRA DO NASCIMENTO, N. 807, Apto 401K, BL K VG 131 ;204.000,00;204.000,00;0.00;Nýo;Apartamento, 45.67 de ýrea total, 41.11 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713174572
 8787708036302 ;PR ;ALMIRANTE TAMANDARE ;JARDIM CAMPO VERDE ;RUA MANOEL BARBOSA, N. 207, Apto 711, BL 07 VG 21 ;202.459,60;202.459,60;0.00;Nýo;Apartamento, 0.00 de ýrea total, 40.32 de ýrea privativa, 0.00 de ýrea do terreno, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708036302
 8444425272703 ;PR ;ALMIRANTE TAMANDARE ;CACHOEIRA ;RUA STANISLAU BOROWSKI, N. 861, Apto 201, VG 07 ;201.562,88;201.562,88;0.00;Nýo;Apartamento, 55.27 de ýrea total, 55.27 de ýrea privativa, 0.00 de ýrea do terreno,  1 qto(s), 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425272703
 8787700486732 ;PR ;ALMIRANTE TAMANDARE ;CACHOEIRA ;TRAVESSA SCHULTZ, N. 288, Apto 241, BL 02 VAGA 70 ;194.000,00;194.000,00;0.00;Nýo;Apartamento, 0.00 de ýrea total, 42.83 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700486732
 8787711027912 ;PR ;ALMIRANTE TAMANDARE ;CAMPINA DO ARRUDA ;RUA RUSSIA, N. 12, Apto AP 10, BL 6 ;204.000,00;204.000,00;0.00;Nýo;Apartamento, 46.04 de ýrea total, 40.00 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711027912
